net_return,profit_factor,max_dd,n_trades,window_start,window_months
0.005232607000414502,1.9716485825014625,0.004725094547362805,27,2024-01,1
-0.006711594204262705,0.6976424827995064,0.008557110627553044,32,2024-02,1
0.014162826839122067,4.122862438177908,0.004805063070889378,26,2024-03,1
-0.019965657864408737,0.22686455899799404,0.020634803874530885,38,2024-04,1
0.019154900488095983,3.3935964525782674,0.004630150691712129,35,2024-05,1
-0.0004497051727140322,1.363241535231709,0.004785068884960553,29,2024-06,1
-0.009333853526904745,0.46697518558942813,0.010810660303917086,33,2024-07,1
-0.0045046389963834255,0.9144342362918633,0.005461471908868809,34,2024-08,1
-0.0006498522089822822,1.1532705809769759,0.01218035381543812,29,2024-09,1
0.008205887424186153,3.2414477429560042,0.0029018935835780596,21,2024-10,1
0.018451590309483512,4.390672357979947,0.006305583153448108,32,2024-11,1
-0.026765936076983188,0.2561953539540109,0.033148517548945634,22,2024-12,1
