n,min_range,hold_bars,net_return,profit_factor,sharpe,max_dd,n_trades,cost_mult
8,0.0002,12,-0.16952243590033833,0.8948807209374489,-2.8269859552351613,0.17301033026198537,2322,1.0
8,0.0003,12,-0.17206594805243813,0.8932069638756688,-2.87413605247193,0.17554316000425704,2322,1.0
8,0.0004,12,-0.17318704403705065,0.8925033027969458,-2.8959281262828624,0.17665954753612703,2322,1.0
12,0.0003,12,-0.1779090339616004,0.8890872479115458,-3.003754345656846,0.17966304252690743,2316,1.0
12,0.0002,12,-0.17794363172840388,0.8890852638427437,-3.004172532488254,0.17969756647611668,2316,1.0
12,0.0004,12,-0.17835420759278398,0.88882164669376,-3.0125304802737003,0.18010726633818955,2316,1.0
16,0.0003,12,-0.18267138284889517,0.8863487827684874,-3.073205341708712,0.1865412475684598,2306,1.0
16,0.0004,12,-0.18279663737912433,0.8862844689134743,-3.076064677142504,0.1866659090470364,2306,1.0
16,0.0002,12,-0.18311048578876998,0.8860713266289503,-3.081297778724659,0.18697827145599466,2306,1.0
16,0.0003,6,-0.18267442245972754,0.7811089287373023,-4.6164721817806225,0.18306334985473893,2306,1.0
16,0.0002,6,-0.18273728941227585,0.7809742829167379,-4.618865391704354,0.18312618689181548,2306,1.0
16,0.0004,6,-0.18335522555494033,0.7807108965724092,-4.628238328953907,0.18374382898728403,2306,1.0
12,0.0002,6,-0.1934861877971774,0.7645304517857386,-5.070072786815433,0.19366761962740897,2316,1.0
12,0.0003,6,-0.19388956982643824,0.7640992707751257,-5.08134246158794,0.1940709109126072,2316,1.0
12,0.0004,6,-0.19456848347384925,0.7637273251497995,-5.092685375602432,0.19474967183288117,2316,1.0
8,0.0004,6,-0.2047212141416367,0.751452125850211,-5.324457190498568,0.20490011856147383,2322,1.0
8,0.0002,6,-0.20695601304660372,0.7483411379814828,-5.398075357677347,0.2071344147302826,2322,1.0
8,0.0003,6,-0.20801708325628776,0.7470929589433708,-5.429132317828625,0.20819524624360786,2322,1.0
16,0.0003,4,-0.2075552031323048,0.6421066858817,-7.054653930693006,0.20761923279966532,2306,1.0
16,0.0002,4,-0.2075690972883405,0.6419289446518383,-7.056923751850553,0.20763312583305105,2306,1.0
16,0.0004,4,-0.2082491422054592,0.6416316640679489,-7.0678884093251835,0.20831311580243073,2306,1.0
12,0.0002,4,-0.2073032503516934,0.6383232359576672,-7.133340745507154,0.20746977842680525,2316,1.0
12,0.0003,4,-0.20752739888010863,0.638042053667187,-7.1410371817764675,0.2076938798665664,2316,1.0
12,0.0004,4,-0.20851351906906157,0.6370918165906214,-7.165488727797918,0.2086797928934525,2316,1.0
8,0.0004,4,-0.21368028298652153,0.6300111231928623,-7.331966652483577,0.21384547138795595,2322,1.0
8,0.0002,4,-0.21416922241680525,0.6288227260587789,-7.363100263193779,0.2143343081028669,2322,1.0
8,0.0003,4,-0.2143890717255046,0.6285292873631152,-7.37049308957078,0.21455411122608314,2322,1.0
