n_trades,cum_ret,max_dd,profit_factor,win_rate,avg_trade_pips,config,hold_bars
92,0.015227,0.013012,1.3883,0.5109,1.65,baseline,6
86,0.022465,0.011893,1.711,0.5349,2.59,no_cpi_up,6
46,0.016137,0.003474,2.0913,0.5435,3.49,high_vol,6
39,0.004262,0.005267,1.2896,0.4615,1.1,trend_agrees,6
53,0.010918,0.010152,1.4482,0.5472,2.06,trend_disagrees,6
24,0.008356,0.01015,1.6531,0.5833,3.48,nfp_only,6
24,-0.00204,0.006574,0.849,0.375,-0.84,cpi_only,6
32,0.006367,0.002942,1.6919,0.5625,1.99,fomc_ecb,6
43,0.019034,0.003474,2.6889,0.5581,4.39,high_vol_no_cpi_up,6
